Goles en el partido,Crónica,Fecha,Local,goles_local,Otros,goles_visitante,id_partido,resultado_local
13.0,1,2007-08-08,Pesca,5.0,Custodios,8.0,2007-08-08,P
15.0,2,2007-08-15,Pesca,10.0,Custodios,5.0,2007-08-15,G
13.0,3,2007-08-22,Pesca,3.0,Custodios,10.0,2007-08-22,P
18.0,4,2007-08-29,Pesca,12.0,Custodios,6.0,2007-08-29,G
19.0,5,2007-09-05,Pesca,9.0,Custodios,10.0,2007-09-05,P
8.0,6,2007-09-12,Pesca,4.0,Custodios,4.0,2007-09-12,E
10.0,7,2007-09-19,Pesca,6.0,Custodios,4.0,2007-09-19,G
15.0,8,2007-09-26,Pesca,8.0,Custodios,7.0,2007-09-26,G
10.0,9,2007-10-03,Pesca,6.0,Custodios,4.0,2007-10-03,G
15.0,10,2007-10-10,Pesca,8.0,Custodios,7.0,2007-10-10,G
26.0,11,2007-10-17,Pesca,11.0,Custodios,15.0,2007-10-17,P
25.0,12,2007-10-24,Pesca,16.0,Custodios,9.0,2007-10-24,G
15.0,13,2007-10-31,Pesca,8.0,Custodios,7.0,2007-10-31,G
14.0,14,2007-11-07,Pesca,7.0,Custodios,7.0,2007-11-07,E
23.0,15,2007-11-14,Pesca,14.0,Custodios,9.0,2007-11-14,G
17.0,16,2007-11-21,Pesca,11.0,Custodios,6.0,2007-11-21,G
14.0,17,2007-11-28,Pesca,6.0,Custodios,8.0,2007-11-28,P
13.0,18,2007-12-05,Pesca,3.0,Custodios,10.0,2007-12-05,P
12.0,19,2007-12-12,Pesca,5.0,Custodios,7.0,2007-12-12,P
15.0,20,2007-12-19,Pesca,7.0,Custodios,8.0,2007-12-19,P
25.0,21,2007-12-26,Pesca,13.0,Custodios,12.0,2007-12-26,G
26.0,22,2008-02-20,Pesca,13.0,Dealers,13.0,2008-02-20,E
23.0,23,2008-02-27,Pesca,13.0,Dealers,10.0,2008-02-27,G
15.0,24,2008-03-05,Pesca,8.0,Dealers,7.0,2008-03-05,G
30.0,25,2008-03-12,Pesca,12.0,Dealers,18.0,2008-03-12,P
15.0,26,2008-03-26,Pesca,9.0,Dealers,6.0,2008-03-26,G
11.0,27,2008-04-02,Pesca,9.0,Dealers,2.0,2008-04-02,G
9.0,28,2008-04-09,Pesca,4.0,Dealers,5.0,2008-04-09,P
14.0,29,2008-04-16,Pesca,8.0,Dealers,6.0,2008-04-16,G
13.0,30,2008-04-23,Pesca,8.0,Dealers,5.0,2008-04-23,G
23.0,31,2008-04-30,Pesca,9.0,Dealers,14.0,2008-04-30,P
10.0,32,2008-05-07,Pesca,4.0,Dealers,6.0,2008-05-07,P
13.0,33,2008-05-14,Pesca,6.0,Dealers,7.0,2008-05-14,P
13.0,34,2008-05-21,Pesca,9.0,Dealers,4.0,2008-05-21,G
16.0,35,2008-05-28,Pesca,7.0,Dealers,9.0,2008-05-28,P
9.0,36,2008-06-04,Pesca,5.0,Dealers,4.0,2008-06-04,G
19.0,37,2008-06-11,Pesca,8.0,Dealers,11.0,2008-06-11,P
22.0,38,2008-06-18,Pesca,12.0,Dealers,10.0,2008-06-18,G
10.0,39,2008-06-25,Pesca,5.0,Dealers,5.0,2008-06-25,E
18.0,40,2008-07-02,Pesca,7.0,Dealers,11.0,2008-07-02,P
12.0,41,2008-07-09,Pesca,3.0,Dealers,9.0,2008-07-09,P
10.0,42,2008-07-16,Pesca,5.0,Dealers,5.0,2008-07-16,E
6.0,43,2008-07-23,Pesca,2.0,Dealers,4.0,2008-07-23,P
21.0,44,2008-07-30,Pesca,8.0,Dealers,13.0,2008-07-30,P
20.0,45,2008-08-06,Pesca,10.0,Dealers,10.0,2008-08-06,E
12.0,46,2008-08-13,Pesca,6.0,Dealers,6.0,2008-08-13,E
13.0,47,2008-08-20,Pesca,8.0,Dealers,5.0,2008-08-20,G
24.0,48,2008-08-27,Pesca,13.0,Dealers,11.0,2008-08-27,G
18.0,49,2008-09-03,Pesca,8.0,Dealers,10.0,2008-09-03,P
11.0,50,2008-09-10,Pesca,9.0,Dealers,2.0,2008-09-10,G
12.0,51,2008-09-17,Pesca,10.0,Dealers,2.0,2008-09-17,G
14.0,52,2008-09-24,Pesca,5.0,Dealers,9.0,2008-09-24,P
8.0,53,2008-10-01,Pesca,5.0,Dealers,3.0,2008-10-01,G
14.0,54,2008-10-08,Pesca,6.0,Dealers,8.0,2008-10-08,P
22.0,55,2008-10-15,Pesca,10.0,Dealers,12.0,2008-10-15,P
12.0,56,2008-10-22,Pesca,7.0,Dealers,5.0,2008-10-22,G
9.0,57,2008-10-29,Pesca,5.0,Dealers,4.0,2008-10-29,G
23.0,58,2008-11-05,Pesca,9.0,Dealers,14.0,2008-11-05,P
14.0,59,2008-11-12,Pesca,7.0,Dealers,7.0,2008-11-12,E
14.0,60,2008-11-19,Pesca,10.0,Dealers,4.0,2008-11-19,G
26.0,61,2008-11-26,Pesca,14.0,Dealers,12.0,2008-11-26,G
0.0,62,2008-12-01,PARTIDO FALLIDO SOLO FUIMOS 5,,,,2008-12-01,E
10.0,63,2008-12-10,Pesca,3.0,Dealers,7.0,2008-12-10,P
16.0,64,2008-12-17,Pesca,10.0,Dealers,6.0,2008-12-17,G
16.0,65,2008-12-22,Pesca,7.0,Dealers,9.0,2008-12-22,P
18.0,66,2008-12-29,Pesca,12.0,Dealers,6.0,2008-12-29,G
18.0,67,2009-02-11,Pesca,8.0,Dealers,10.0,2009-02-11,P
25.0,68,2009-02-18,Pesca,17.0,Dealers,8.0,2009-02-18,G
25.0,69,2009-02-25,Pesca,9.0,Dealers,16.0,2009-02-25,P
10.0,70,2009-03-04,Pesca,5.0,Dealers,5.0,2009-03-04,E
18.0,71,2009-03-11,Pesca,9.0,Dealers,9.0,2009-03-11,E
11.0,72,2009-03-18,Pesca,5.0,Dealers,6.0,2009-03-18,P
20.0,73,2009-03-25,Pesca,9.0,Dealers,11.0,2009-03-25,P
12.0,74,2009-04-01,Pesca,7.0,Dealers,5.0,2009-04-01,G
